,D.Cancer.NonBasal,D.Cardiomet.Arrythmia,D.Cardiomet.Cholesterol.high,D.Cardiomet.DiabetesT2,D.Cardiomet.Heartrate.complains,D.Cardiomet.Hypertension,D.Cardiomet.Thrombosis,D.GI.Discomfort.Burping,D.GI.Discomfort.Flatulence,D.GI.Discomfort.Nausea,D.GI.Discomfort.Pain,D.GI.Discomfort.Unwell,D.GI.FGID.Bloating,D.GI.Gallstones,D.GI.IBD.CD,D.GI.IBD.UC,D.GI.IBS.Any,D.GI.IBS.TypeD,D.GI.IBS.TypeM,D.GI.Stomach.Ulcer,D.Mental.Bipolar,D.Mental.Burnout,D.Mental.Depression,D.Mental.Eating.disorder,D.Neuro.Fibromyalgia,D.Neuro.Migraine,D.Other.Chronic.Cystitis,D.Other.Chronic.Inflammation.Throatnose,D.Other.Chronic.Muscle.Weakness,D.Other.Osteoarthritis,D.Other.Rheumatoid.Arthritis,D.Pulmonary.Asthma,D.Pulmonary.COPD,D.Skin.Atopic.dermatitis,General Health
s__Clostridium_asparagiforme,0.035509256,0.160667727,0.253753773,3.36E-05,0.166935306,0.031558228,1,0.077087387,0.180351168,0.000936038,0.003453873,0.000386054,0.007896607,4.58E-06,0.106600871,1,0.013594402,0.056513881,0.055399677,0.027073726,0.017797921,2.70E-05,0.014720372,0.006781501,0.018919377,0.019678354,1,0.014559628,0.111089369,0.156648045,1,0.001839687,9.22E-06,1,1.00E-10
s__Clostridium_bolteae,0.002487533,1,0.04880228,1.00E-10,1,0.000422548,0.186327348,1,1,0.000312644,0.000140701,0.000148321,0.002917327,1.20E-06,0.052427818,0.040017659,0.023601083,0.00101483,0.242629807,0.172725801,0.008375975,0.086481369,0.070646174,0.000106197,0.061873902,1,0.248845281,0.107421912,0.099263904,0.192217772,1,1,0.153163515,1,3.09E-07
s__Clostridium_citroniae,1,1,1,0.000128181,1,1,1,0.025516559,1,0.065883002,0.023348104,0.024969235,1,9.02E-06,0.194363282,1,0.039488142,0.032885808,1,1,1,1,1,1,1,0.219248632,1,0.004520247,1,1,1,0.064373586,0.117274946,1,6.00E-05
s__Clostridium_hathewayi,0.070389444,1,0.074697055,3.86E-09,1,0.102981448,1,1,1,0.115531548,1,1,1,0.1568207,1,0.006523122,1,0.249386217,1,1,1,1,1,0.032206609,0.065185556,1,0.166785926,1,0.200078309,0.073928485,1,1,1,1,0.000381568
s__Clostridium_leptum,0.170207966,1,0.229670373,1,1,1,1,1,0.264126945,1,0.004124064,0.101349097,1,0.131548669,1,1,1,1,1,1,1,1,1,1,0.002012552,1,0.028213163,1,0.189530752,0.024192074,1,1,1,1,4.03E-08
s__Flavonifractor_plautii,0.003055782,0.263519533,1,0.006521866,0.149173007,0.042940318,0.019649039,0.12052627,1,0.001393326,0.004585916,0.039012055,1,0.000124505,0.125516512,0.262076987,0.010756675,0.208422441,0.043818674,1,0.006689598,0.018951541,0.001708889,1,0.028945066,0.217641824,0.21594777,0.10015928,0.000890327,1,0.208566598,0.209138947,0.07488166,0.043484076,2.06E-06
s__Pseudoflavonifractor_capillosus,0.018384094,1,0.073074965,1,0.006032772,1,1,0.202480175,0.181499822,1,1,1,1,1,1,1,1,1,1,1,1,0.135826683,1,1,0.128598299,1,0.091567752,1,0.046177103,0.189502803,1,0.165705382,0.047538356,0.025132645,1.07E-08
s__Eubacterium_rectale,1,1,1,1.87E-05,1,1,1,1,1,0.003109396,0.250745844,0.019668475,1,1,7.94E-06,1,0.030266018,1,0.080082973,1,1,0.227293112,0.172641466,1,1,1,1,1,1,1,1,1,1,1,0.052797251
s__Ruminococcus_gnavus,1,1,0.010605918,0.043076321,1,1,1,0.004475413,1,0.000797888,1.86E-09,6.78E-07,1,0.022792144,5.58E-06,1,0.0068346,0.001030111,1,1,1,0.014645064,0.217357002,1,1,0.066603572,1,0.130440236,0.209979958,0.174037947,0.1419141,0.056359988,0.183231606,1,1.07E-05
s__Ruminococcus_torques,1,1,0.218827773,0.004848705,1,1,1,0.088601321,1,0.030051125,0.010219772,0.165774942,1,1,1,1,1,1,0.212378631,1,1,1,1,1,1,1,0.11162027,1,1,1,0.211923864,1,0.177754106,1,0.030140915
s__Butyrivibrio_crossotus,1,1,1,0.009260998,1,1,0.031260247,0.03227964,0.091499331,0.232915295,0.018679972,0.053048298,1,0.062420222,1,1,0.001813377,0.215149433,0.025244884,1,1,1,0.207218256,1,0.042239129,1,1,1,0.027727081,0.010759099,0.188641306,0.006613993,0.035907408,0.069336448,8.68E-07
s__Dorea_longicatena,1,1,1,0.000109963,1,1,1,0.057907933,1,0.141363019,1,0.039734983,0.253753773,1,1,1,0.20589511,1,1,1,1,0.027353522,0.088753678,1,0.153006609,0.023056242,1,1,1,1,1,0.024144093,0.000111079,0.002200373,3.08E-05
s__Lachnospiraceae_bacterium_1_1_57FAA,1,1,1,1,0.232930873,1,1,1,1,0.01100509,0.029963271,0.014435566,1,1,1,1,0.164776176,1,1,1,1,0.152041384,1,1,1,1,1,1,1,1,1,0.04487872,1,1,0.117709161
s__Lachnospiraceae_bacterium_8_1_57FAA,1,1,0.023252456,1,1,1,1,1,1,0.024766997,0.002487741,0.071882463,1,1,1,1,0.105530046,1,0.067846525,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.01996471
s__Oscillibacter_unclassified,0.053232246,1,0.159216616,0.26442641,1,1,1,1,1,1,1,1,1,0.107856223,2.10E-05,1,0.225532247,1,1,0.176763273,0.257413673,0.056942272,1,1,0.045114982,0.013236282,0.034618796,0.250105331,0.071524864,1,1,1,0.006915147,0.161357718,1.00E-10
s__Anaerotruncus_colihominis,0.074360181,1,1,2.94E-05,1,1,1,1,1,0.097693075,0.005367651,0.00182335,0.02306227,0.000462789,1,1,0.000900283,0.052321385,0.052555947,0.263138659,0.002921042,0.207584789,0.158768375,0.234630621,0.230897142,1,0.119278303,1,0.077129514,1,1,1,1,1,1.25E-05
s__Anaerotruncus_unclassified,1,1,1,0.004809524,1,1,1,1,0.224367421,0.260694445,1,0.263890065,1,0.224099837,1,1,0.112314738,1,0.138457258,1,1,0.000531821,0.125521526,0.00975695,1,0.165121456,1,1,0.114734669,1,1,1,1,1,0.006890009
s__Faecalibacterium_prausnitzii,1,1,1,1.00E-10,1,0.140598891,1,0.07811634,1,9.20E-06,1.76E-05,0.000194384,1,0.000209417,1.00E-10,1,1.82E-05,2.90E-06,0.053473805,0.091248437,1,1,0.029949365,1,0.114174418,0.104187278,1,1,0.00602631,0.109549557,0.006964512,0.007610608,0.227166603,1,1.84E-05
s__Ruminococcaceae_bacterium_D16,0.000986191,1,0.102196842,1,0.084103272,1,0.0031291,0.013294092,1,0.140950976,0.094453291,0.017573484,1,0.111826995,1,0.001363333,0.104394449,0.231778565,1,0.131469497,1,0.011272294,1,1,0.23140948,0.232506574,0.042961169,1,0.029102123,0.029888406,0.242507486,0.182997159,0.201813886,0.012722497,1.64E-06
s__Subdoligranulum_unclassified,1,1,1,2.06E-06,1,1,0.156380486,0.149334815,1,0.012910201,0.012842914,0.031393827,0.034915777,1,1.57E-05,0.012604117,0.003050228,0.106570503,0.124204155,0.182591161,1,0.113274414,0.069709554,1,0.168528823,1,0.14989627,1,0.042615433,1,1,1,0.108433428,1,8.11E-06
s__Holdemania_filiformis,1,0.006622558,1,1,0.012745229,1,1,1,0.102328307,1,0.00295735,0.004722568,1,1,1,1,0.002482319,1,0.014983829,1,1,0.203347065,0.158748016,0.108549358,0.025556495,0.01222763,1,1,1,0.114734669,1,0.117379623,0.054630495,0.046595313,0.000186961
s__Holdemania_unclassified,0.105605489,1,1,1,1,1,0.227166603,0.050915308,1,0.002322402,0.019525537,0.015453964,1,0.101431665,1,1,0.020437754,1,0.056071235,0.201785612,1,0.202600939,0.100959362,1,0.034998387,1,1,1,1,1,1,1,0.07459761,0.055625853,0.173387842
s__Mitsuokella_unclassified,1,0.130590411,0.020938024,0.005640068,0.046165431,0.003000408,1,1,1,1,1,1,1,1,1,1,0.179812838,1,1,0.168305144,1,0.081122062,1,1,1,1,1,1,1,1,0.174037947,0.223506895,1,1,0.192217772
s__Veillonella_atypica,0.259951067,1,1,1,1,1,1,0.01040594,0.173794015,0.012518746,0.038954489,0.030043963,1,1,1,1,0.039991432,0.007445947,1,0.158677497,1,1,1,0.018795356,1,1,1,1,0.178762164,1,0.193502704,0.210120932,1,1,1
s__Veillonella_parvula,1,0.018315349,0.254366196,0.126279095,1,1,1,0.177823874,1,0.083845832,0.080854678,0.064362749,1,1,0.057570663,1,0.185182945,0.03153326,1,0.019414363,1,1,1,1,1,1,1,0.063158414,1,1,0.160020392,0.068951146,0.027203311,1,0.019045918
s__Desulfovibrio_piger,0.083841152,0.057635499,1,1,0.014774653,1,1,1,1,1,0.075892033,0.247342528,1,1,1,0.159784098,0.004511707,0.035266687,1,0.106331388,1,1,1,1,0.002799314,0.126830215,1,0.041813944,1,1,0.140086622,0.0231668,0.103717057,0.111142837,0.001030111
s__Alistipes_shahii,1,0.149863402,0.088552351,0.036344724,0.027607727,1,1,0.243319911,1,1,0.067785338,0.229875806,1,1,0.256110492,0.065082954,0.059919407,1,0.031813085,1,1,0.000571873,0.194733179,1,1,1,1,0.083435703,1,0.188566791,0.127491402,1,0.160506568,1,0.009983129
