,s__Bifidobacterium_adolescentis,s__Bifidobacterium_bifidum,s__Bifidobacterium_dentium,s__Bifidobacterium_longum,s__Bacteroides_cellulosilyticus,s__Bacteroides_clarus,s__Bacteroides_finegoldii,s__Bacteroides_fragilis,s__Bacteroides_plebeius,s__Bacteroides_salyersiae,s__Prevotella_copri,s__Lactobacillus_delbrueckii,s__Streptococcus_salivarius,s__Streptococcus_thermophilus,s__Clostridium_asparagiforme,s__Clostridium_bolteae,s__Clostridium_leptum,s__Pseudoflavonifractor_capillosus,s__Eubacterium_eligens,s__Ruminococcus_gnavus,s__Ruminococcus_torques,s__Butyrivibrio_crossotus,s__Dorea_formicigenerans,s__Lachnospiraceae_bacterium_5_1_63FAA,s__Lachnospiraceae_bacterium_8_1_57FAA,s__Roseburia_hominis,s__Oscillibacter_unclassified,s__Anaerotruncus_colihominis,s__Faecalibacterium_prausnitzii,s__Ruminococcaceae_bacterium_D16,s__Ruminococcus_lactaris,s__Subdoligranulum_unclassified,s__Dialister_invisus,s__Mitsuokella_unclassified,s__Veillonella_unclassified,s__Oxalobacter_formigenes,s__Bilophila_wadsworthia,s__Haemophilus_parainfluenzae,s__Flavonifractor_plautii,s__Desulfovibrio_piger
Preterm Birth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.136439494,0,0,0,0,0,0
Birth Mode,0,0,0,0,0,0,0,0,0,0,3.031489388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Breastfed 6M+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.137153378,-3.012844209,0,0,0,0,0,0,0,0,0,0,0,-2.517299812,0,0,0,0,2.414287487,0,0,3.381943526,0,-2.13201171
Childhood Urbanicity,3.645935714,0,0,3.459291156,-5.305795679,-2.691040553,-5.048732987,-2.307177568,0,-5.393071926,2.900206095,0,0,0,-2.893689793,-2.417178666,0,-2.247745777,0,-3.030930993,0,3.121421264,0,0,0,0,0,-2.647595547,3.256836803,0,0,0,-4.07159506,3.866243489,0,0,-4.855156625,2.620935511,-3.018096142,3.191073397
Childhood Parents Smoking,0,0,0,0,0,0,0,0,0,0,-3.089957021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.907359849,0,0,0,0,0,0,0,-3.867894469,0,0,-4.30222054,0,0
Childhood Pets,0,0,0,0,0,0,0,0,0,0,0,-3.305634619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.783766943,0,0,2.681574712,0,0,-2.71614081,0,0,0,-3.325381206,0,0,0
Greenspace NDVI,0,0,-2.285295585,0,0,0,0,-3.725260735,2.979299772,0,0,0,0,0,-2.696262643,-3.924958317,0,0,0,-2.732275494,0,2.382090373,0,0,0,0,0,-3.15452078,2.724257477,0,0,0,-2.317496795,4.076303432,0,2.16822018,-3.919067025,0,-3.652171987,3.028169042
Pet ownership,0,0,0,0,0,0,0,-2.236544786,4.145901261,0,4.907843172,0,0,0,0,0,0,2.05904783,0,0,0,0,0,-1.990714448,0,-3.527129048,0,0,-2.334904394,3.55538238,0,-2.281547437,-2.984410268,3.133047003,-2.033558714,0,-3.230872072,0,0,2.961426842
NO2 Concentration,0,0,0,-2.603260589,2.649678683,2.191229136,2.255323201,2.923874565,-2.028804408,3.519054481,-2.225183781,0,0,-2.140370039,0,0,0,0,0,0,0,0,0,2.858216084,0,0,0,0,0,0,0,0,0,-5.16745097,0,0,5.041644987,0,0,-2.981709772
PM2.5 Concentration,-2.098768734,0,0,0,1.978874256,0,0,3.181852847,-4.162776634,2.20225302,0,0,0,0,0,0,0,0,0,0,0,0,0,2.770409361,0,0,0,0,1.975953895,0,0,0,0,0,0,0,0,0,0,-3.745036842
Urbanicity,0,0,0,2.671554536,-3.415377481,0,0,-3.385731573,0,-3.810071159,0,0,0,0,0,-2.433400763,0,0,0,-2.561731616,0,0,0,-2.83404231,0,0,0,0,0,0,0,0,0,3.80576574,0,0,-3.420318843,0,0,2.698086166
Smoking Passive,0,2.196310182,0,2.833085337,0,0,0,0,2.2278318,0,0,0,0,-2.90056492,0,0,2.249001548,3.838815662,-4.478712028,0,2.62521161,-2.362567605,0,0,0,-5.430514352,6.408555254,2.03701755,-3.005685599,3.578911943,0,-4.45636546,0,0,-3.051667414,-3.20946879,0,-4.504036199,4.946417236,0
Smoking Active,-2.002023834,0,0,0,0,0,0,0,0,0,0,-3.961984659,-3.706135208,-3.895146329,0,3.091739315,0,4.010539149,-7.279713037,4.961853293,3.877375791,-3.117643685,-2.424141862,0,2.394615184,-7.483648292,7.908358143,5.650643894,-4.273750561,5.006047696,0,-6.945538047,-2.204417022,0,-7.092416849,-4.992113017,0,-8.154622315,5.42122343,2.337938951
"Smoker Active, 1 Year+",0,0,0,0,-2.47776564,0,0,0,0,0,0,-3.03812874,-2.049506758,-2.910244918,2.514989543,4.112321853,0,4.644111692,-2.674426384,4.013576159,0,0,0,0,2.534134347,-3.909070828,6.449404338,4.827620819,-4.341870157,4.842625014,0,-5.527922919,0,-2.943988518,-3.164562411,-3.455011499,0,-4.764940598,3.561914469,0
"Smoker, Stopped",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.054798924,0,0,0,0,0,2.272318593,0,-2.031003123,0,0,0,0,0,0,0,0
Income,2.767921384,2.241503106,0,-4.620591395,4.425063811,2.146036582,3.862246467,0,0,0,0,0,3.012944904,0,0,2.666968739,0,0,4.523117977,-3.050019996,0,0,0,0,0,3.902069457,3.588457434,2.075204839,-2.613541089,0,-2.923523837,4.375378655,-3.773821501,0,-3.104701926,3.241303842,0,0,3.94701543,2.269662066
Retired,0,0,3.21067852,0,0,0,0,0,-2.419066449,0,2.748591518,0,0,0,0,0,0,-3.505360184,0,2.269245202,0,0,-2.103174638,2.191536351,0,2.352118364,-3.064089277,0,0,-2.782190857,-3.027336459,0,0,0,4.18611682,0,0,2.383480521,0,0
Housewife/husband,1.970909714,2.28494653,2.745150699,0,-2.117926387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.438969747,0,0,0,0
Employed,0,-2.593084525,-2.885295187,0,0,0,0,0,0,0,0,0,0,0,-2.19957896,-2.386680157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.209387995,2.4874681,0,0,0,2.647535676,0,0,-2.101199004,0
High income prop.,0,-2.988537595,-2.087097431,0,4.22070615,3.297036486,2.266476222,0,0,0,0,2.700064614,0,3.025085826,0,-3.079721767,-2.980321928,-2.214272788,4.327829977,-4.308300237,0,2.975914838,0,0,0,3.58214426,-3.656083364,-2.225720088,2.270821931,0,2.40323785,3.635254074,0,0,0,0,0,2.041142808,-4.639355564,0
General Health,4.267019257,0,-3.007369927,0,0,2.086285168,0,-3.976191168,2.623552755,0,3.033754059,2.370562357,-4.891918059,2.045851431,-7.746188767,-6.045111796,-6.404375433,-6.627490402,3.125428087,-5.357172251,-3.13446348,5.855902669,0,0,-3.300888962,4.467243014,-8.099511987,-5.325260052,5.245499051,-5.734912454,3.25518791,5.417633021,0,2.184221644,0,5.445808614,0,0,-5.692970823,4.269985793
