,s__Bifidobacterium_adolescentis,s__Bifidobacterium_bifidum,s__Bifidobacterium_dentium,s__Bifidobacterium_longum,s__Bacteroides_cellulosilyticus,s__Bacteroides_clarus,s__Bacteroides_finegoldii,s__Bacteroides_fragilis,s__Bacteroides_plebeius,s__Bacteroides_salyersiae,s__Prevotella_copri,s__Lactobacillus_delbrueckii,s__Streptococcus_salivarius,s__Streptococcus_thermophilus,s__Clostridium_asparagiforme,s__Clostridium_bolteae,s__Clostridium_leptum,s__Pseudoflavonifractor_capillosus,s__Eubacterium_eligens,s__Ruminococcus_gnavus,s__Ruminococcus_torques,s__Butyrivibrio_crossotus,s__Dorea_formicigenerans,s__Lachnospiraceae_bacterium_5_1_63FAA,s__Lachnospiraceae_bacterium_8_1_57FAA,s__Roseburia_hominis,s__Oscillibacter_unclassified,s__Anaerotruncus_colihominis,s__Faecalibacterium_prausnitzii,s__Ruminococcaceae_bacterium_D16,s__Ruminococcus_lactaris,s__Subdoligranulum_unclassified,s__Dialister_invisus,s__Mitsuokella_unclassified,s__Veillonella_unclassified,s__Oxalobacter_formigenes,s__Bilophila_wadsworthia,s__Haemophilus_parainfluenzae,s__Flavonifractor_plautii,s__Desulfovibrio_piger
NO2 Concentration,1,1,1,0.095065862,0.087053594,0.189964115,0.172606254,0.048864275,0.241706228,0.01114841,0.180591666,1,1,0.20589511,1,1,1,1,1,1,1,1,1,0.056733659,1,1,1,1,1,1,1,1,1,2.58E-05,1,1,4.53E-05,1,1,0.042965404
PM2.5 Concentration,0.218029085,1,1,1,0.258356967,1,1,0.026909827,0.001502303,0.18702576,1,1,1,1,1,1,1,1,1,1,1,1,1,0.068278144,1,1,1,1,0.259442548,1,1,1,1,1,1,1,1,1,1,0.005768028
Urbanicity,1,1,1,0.083279157,0.014675901,1,1,0.016013849,1,0.004693419,1,1,1,1,1,0.129142349,1,1,1,0.10282193,1,1,1,0.059887129,1,1,1,1,1,1,1,1,1,0.004758102,1,1,0.014501353,1,1,0.078604164
Smoking Passive,1,0.188674251,1,0.060005132,1,1,1,1,0.179901636,1,1,1,1,0.051683793,1,1,0.174090679,0.004300196,0.000476694,1,0.091418133,0.145304563,1,1,1,7.65E-06,3.95E-08,0.238912445,0.040610441,0.00951021,1,0.000520321,1,1,0.036461828,0.025145564,1,0.000434098,6.83E-05,1
Smoking Active,0.251005779,1,1,1,1,1,1,1,1,1,1,0.002928833,0.006486837,0.0036274,1,0.033381417,1,0.002515091,1.70E-10,6.41E-05,0.00385434,0.031361561,0.131221945,1,0.138457258,1.00E-10,1.00E-10,2.58E-06,0.001015094,5.26E-05,1,1.52E-09,0.186520304,1,6.06E-10,5.56E-05,1,1.00E-10,7.99E-06,0.151586721
"Smoker Active, 1 Year+",1,1,1,1,0.119903667,1,1,1,1,1,1,0.037618416,0.234128927,0.050473719,0.112110991,0.001790026,1,0.000246653,0.082712981,0.00249108,1,1,1,1,0.108412661,0.003459673,3.11E-08,0.000115714,0.000786666,0.000109326,1,4.77E-06,1,0.046652565,0.028065262,0.013236282,1,0.000148597,0.009949106,1
"Smoker, Stopped",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.232550955,1,1,1,1,1,0.167997891,1,0.241104242,1,1,1,1,1,1,1,1
Income,0.068620044,0.176089087,1,0.000271701,0.000587356,0.204001165,0.004011842,1,1,1,1,1,0.039922519,1,1,0.084000794,1,1,0.000402975,0.036551655,1,1,1,1,1,0.003544632,0.009240995,0.22571103,0.09318658,1,0.048886701,0.000697647,0.005255022,1,0.03227964,0.0231668,1,1,0.003081709,0.168687361
Retired,1,1,0.025085095,1,1,1,1,1,0.132442809,1,0.07126881,1,1,1,1,1,1,0.011606169,1,0.168813332,1,1,0.216881524,0.189839941,1,0.148100481,0.0354539,1,1,0.066642801,0.038576587,1,1,1,0.001382632,1,1,0.140779988,1,1
Housewife/husband,0.260931049,0.164509933,0.071707782,1,0.212297623,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.128081503,1,1,1,1
Employed,1,0.097044098,0.053544566,1,1,1,1,1,1,1,1,1,1,1,0.187847308,0.140147986,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.185199777,0.117764292,1,1,1,0.087472002,1,1,0.217353346,1
High income prop.,1,0.042407484,0.221607618,1,0.001226949,0.020125192,0.169531944,1,1,1,1,0.078305086,1,0.038815508,1,0.034399465,0.043018354,0.183787605,0.000829057,0.000897181,1,0.043487874,1,1,1,0.009420782,0.007519358,0.180507348,0.168389029,1,0.136331527,0.008002016,1,1,1,1,1,0.237364918,0.000251539,1
General Health,0.001038425,1,0.040425119,1,1,0.221944058,1,0.002809922,0.091590952,1,0.037988508,0.143752842,8.70E-05,0.235582069,1.00E-10,3.09E-07,4.03E-08,1.07E-08,0.030806672,1.07E-05,0.030140915,8.68E-07,1,1,0.01996471,0.00049799,1.00E-10,1.25E-05,1.84E-05,1.64E-06,0.022424776,8.11E-06,1,0.192217772,1,7.13E-06,1,1,2.06E-06,0.001030111
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
